KFS-ACH-HBANKKF,UAF-ACHLOAD-ASM-HCMBANK
KFS-ACH-HPAYKF,UAF-ACHLOAD-ASM-HCMPAYEE
KFS-ACH-SPAYKF,UAF-ACHLOAD-ASM-SAPAYEE
KFS-ACH-SBANKKF,UAF-ACHLOAD-ASM-SABANK
KFS-BNK-BAIIF,UAF-BANK-ASM-BAI-LOCAL
KFS-BNK-BAIKF,UAF-BANK-TRF-WF-PULL
KFS-BNK-CKRECNA,UAF-ARCHV-EXE-CHKRECON
KFS-BNK-WFIF,UAF-BANK-TRF-WF-PUSH
KFS-EIN-SCIKF,UAF-EINV-ASM-SCIQ
KFS-EMC-SPAYKF,UAF-EMCHECKS-ASM-SAPAYEE
KFS-EMC-SBANKKF,UAF-EMCHECKS-ASM-SABANK
KFS-EMC-HPAYKF,UAF-EMCHECKS-ASM-HCMPAYEE
KFS-EMC-HBANKKF,UAF-EMCHECKS-ASM-HCMBANK
KFS-FMT-ASUFA,NONE
KFS-FMT-ACHBF,UAF-FORMAT-DLV-ACHWF
KFS-FMT-POSPAY,NONE
KFS-FMT-CHKNMSF,UAF-FORMAT-DLV-CHKSA
KFS-GLE-BUDGTKF,UAF-GLENTFD-ASM-HCMBUD
KFS-GLE-PAYRLKF,UAF-GLENTFD-ASM-HCMPAY
KFS-GLE-SAGLKF,UAF-GLENTFD-ASM-SAGL
KFS-GLP-MONREPE,UAF-GLPRJE-DLV-GLRPTS
KFS-GLU-CTKF,UAF-GLCOLL-ASM-TECHSVC
KFS-GLU-TLKF,UAF-GLCOLL-ASM-TELCOM
KFS-GLU-BIKF,UAF-GLCOLL-ASM-BIOMED
KFS-GLU-ARKF,UAF-GLCOLL-ASM-AZLAB
KFS-GLU-URKF,UAF-GLCOLL-ASM-URIC
KFS-GLU-PTKF,UAF-GLCOLL-ASM-PARKTRN
KFS-GLU-MPKF,UAF-GLCOLL-ASM-MTRPOOL
KFS-GLU-PDKF,UAF-GLCOLL-ASM-PLANDC
KFS-GLU-FMKF,UAF-GLCOLL-ASM-FACMGT
KFS-IND-KBI,NONE
KFS-IND-NBISGDS,UAF-END-SUMMARIZE
KFS-LBI-BDSALKF,UAF-LABORINT-ASM-BUDGET
KFS-LBI-LLDGRKF,UAF-LABORINT-ASM-HCMSAL
KFS-LBI-ENCMBKF,UAF-LABORINT-ASM-HCMENC
KFS-PCD-CARDKF,UAF-PCARDH-TRF-JPMC-PULL
KFS-PCD-CARDA,UAF-ARCHV-EXE-PCARDT
KFS-PCD-TRANSKF,UAF-PCARDT-TRF-JPMC-PULL
KFS-PDP-DLYREPE,NONE
KFS-RED-BATENDS,UAF-END-EXE-UNSETMAINT
KFS-ACH-SPAYKF,UAF-ACHLOAD-ASM-SAPAYEE
KFS-ACH-SBANKKF,UAF-ACHLOAD-ASM-SABANK
KFS-SAI-ODCHKKF,UAF-PREPAID-ASM-SAHAND
KFS-SAI-HOCHKKF,UAF-PREPAID-ASM-HCMOFF
KFS-SUP-SUKF,UAF-PDPPAYMT-ASM-STUNION
KFS-SUP-FMKF,UAF-PDPPAYMT-ASM-FACMGT
KFS-SUP-SAPDBKF,UAF-PDPPAYMT-ASM-SADISB
KFS-SAI-ODCHKKF,UAF-PREPAID-ASM-SAHAND
KFS-SAI-HOCHKKF,UAF-PREPAID-ASM-HCMOFF
KFS-SHP-SHIPKF,UAF-SHIP-TRF-FEDEX-PULL
KFS-SHP-FEDEXIF,UAF-SHIP-TRF-FEDEX-PUSH
KFS-SHP-SHIPKF,UAF-SHIP-TRF-FEDEX-PULL
KFS-SUP-SUKF,UAF-PDPPAYMT-ASM-STUNION
KFS-SUP-FMKF,UAF-PDPPAYMT-ASM-FACMGT
KFS-SUP-SAPDBKF,UAF-PDPPAYMT-ASM-SADISB
KFS-SUP-BKKF,UAF-PDPPAYMT-ASM-BOOKSTR
KFS-TXF-EMAIL,NONE
KFS-VND-ASUFA,NONE
KFS-WFL-XMLSEND,UAF-WORKFLOW-ASM-WKFLOW